DateTime,LearningRate,BatchSize,Epochs,LastValidationAccurcay,MaximumAccuracy
,,,,,
,,,,,
2017-10-17 13:49:40.390143,0.001,128,20,97.1201814059,97.1201814059
2017-10-17 13:52:07.408210,0.001,64,20,96.7573695659,97.0294784067
2017-10-17 13:53:44.090974,0.001,256,20,95.3968253725,95.3968253725
2017-10-17 13:57:27.714951,0.001,32,20,96.938775548,96.938775548
2017-10-17 13:58:59.961672,0.0001,128,20,87.0975056446,87.0975056446
2017-10-17 14:02:11.360240,0.0001,128,50,91.0657595885,91.3151926951
2017-10-17 14:05:49.681505,0.00025,128,50,96.4625849313,96.8027210371
2017-10-17 14:11:43.250643,0.0005,128,50,96.3718821132,97.074829932
2017-10-17 14:22:02.017722,0.0005,128,20,95.6916099314,95.7142856683
2017-10-17 14:28:39.861839,0.00075,128,20,96.2811791383,96.2811791383
2017-10-17 14:30:06.253520,0.0025,128,20,97.4149660134,97.7097505939
2017-10-17 14:31:42.560619,0.0025,64,15,97.46031739,97.46031739
2017-10-17 14:32:42.702374,0.005,128,10,95.2154195038,95.2154195038
2017-10-17 14:41:37.189984,0.005,128,15,94.8072562629,94.8072562629
2017-10-17 14:44:00.622113,0.0075,128,15,89.6371881735,90.3174603039
2017-10-17 14:47:03.613766,0.0075,64,20,83.1519274187,83.1519274187
2017-10-17 14:54:35.362130,0.01,128,20,81.7006802883,83.6054421607
2017-10-17 15:00:31.349790,0.001,128,20,96.054421693,96.1678004292
2017-10-17 15:03:03.162969,0.001,64,20,96.2358276914,97.0068027211
